Code,Name
1110.0,곡물 및 기타 식량작물 재배업
1121.0,채소작물 재배업
1122.0,화훼작물 재배업
1123.0,종자 및 묘목 생산업
1131.0,과실작물 재배업
1132.0,음료용 및 향신용 작물 재배업
1140.0,기타 작물 재배업
1151.0,콩나물 재배업
1152.0,"채소, 화훼 및 과실작물 시설 재배업"
1159.0,기타 시설작물 재배업
1211.0,젖소 사육업
1212.0,육우 사육업
1220.0,양돈업
1231.0,양계업
1239.0,기타 가금류 및 조류 사육업
1291.0,말 및 양 사육업
1299.0,그 외 기타 축산업
1300.0,작물재배 및 축산 복합농업
1411.0,작물재배 지원 서비스업
1412.0,"농산물 건조, 선별 및 기타 수확 후 서비스업"
1420.0,축산 관련 서비스업
1500.0,수렵 및 관련 서비스업
2011.0,임업용 종묘 생산업
2012.0,육림업
2020.0,벌목업
2030.0,임산물 채취업
2040.0,임업 관련 서비스업
3111.0,원양 어업
3112.0,연근해 어업
3120.0,내수면 어업
3211.0,해수면 양식 어업
3212.0,내수면 양식 어업
3213.0,수산물 부화 및 수산 종자 생산업
3220.0,어업 관련 서비스업
5100.0,석탄 광업
5200.0,원유 및 천연가스 채굴업
6100.0,철 광업
6200.0,비철금속 광업
7110.0,석회석 및 점토 광업
7121.0,건설용 석재 채굴 및 쇄석 생산업
7122.0,모래 및 자갈 채취업
7210.0,화학용 및 비료 원료용 광물 광업
7220.0,천일염 생산 및 암염 채취업
7290.0,그 외 기타 비금속광물 광업
8000.0,광업 지원 서비스업
10111.0,육류 도축업(가금류 제외)
10112.0,가금류 도축업
10121.0,가금류 가공 및 저장 처리업
10122.0,육류 포장육 및 냉동육 가공업(가금류 제외)
10129.0,육류 기타 가공 및 저장 처리업(가금류 제외)
10211.0,"수산동물 훈제, 조리 및 유사 조제식품 제조업"
10212.0,수산동물 건조 및 염장품 제조업
10213.0,수산동물 냉동품 제조업
10219.0,기타 수산동물 가공 및 저장 처리업
10220.0,수산식물 가공 및 저장 처리업
10301.0,김치류 제조업
10302.0,과실 및 그 외 채소 절임식품 제조업
10309.0,기타 과실ㆍ채소 가공 및 저장 처리업
10401.0,동물성 유지 제조업
10402.0,식물성 유지 제조업
10403.0,식용 정제유 및 가공유 제조업
10501.0,액상 시유 및 기타 낙농제품 제조업
10502.0,아이스크림 및 기타 식용 빙과류 제조업
10611.0,곡물 도정업
10612.0,곡물 제분업
10613.0,곡물 혼합 분말 및 반죽 제조업
10619.0,기타 곡물 가공품 제조업
10620.0,전분제품 및 당류 제조업
10711.0,떡류 제조업
10712.0,빵류 제조업
10713.0,과자류 및 코코아 제품 제조업
10720.0,설탕 제조업
10730.0,"면류, 마카로니 및 유사 식품 제조업"
10741.0,"식초, 발효 및 화학 조미료 제조업"
10742.0,천연 및 혼합 조제 조미료 제조업
10743.0,장류 제조업
10749.0,기타 식품 첨가물 제조업
10751.0,도시락류 제조업
10759.0,기타 식사용 가공처리 조리식품 제조업
10791.0,커피 가공업
10792.0,차류 가공업
10793.0,수프 및 균질화식품 제조업
10794.0,두부 및 유사 식품 제조업
10795.0,인삼식품 제조업
10796.0,건강 보조용 액화식품 제조업
10797.0,건강 기능식품 제조업
10799.0,그 외 기타 식료품 제조업
10801.0,배합 사료 제조업
10802.0,단미사료 및 기타 사료 제조업
11111.0,탁주 및 약주 제조업
11112.0,맥아 및 맥주 제조업
11119.0,기타 발효주 제조업
11121.0,주정 제조업
11122.0,소주 제조업
11129.0,기타 증류주 및 합성주 제조업
11201.0,얼음 제조업
11202.0,생수 생산업
11209.0,기타 비알코올 음료 제조업
12000.0,담배제품 제조업
13101.0,면 방적업
13102.0,모 방적업
13103.0,화학섬유 방적업
13104.0,연사 및 가공사 제조업
13109.0,기타 방적업
13211.0,면직물 직조업
13212.0,모직물 직조업
13213.0,화학섬유직물 직조업
13219.0,특수직물 및 기타 직물 직조업
13221.0,침구 및 관련제품 제조업
13222.0,자수제품 및 자수용 재료 제조업
13223.0,커튼 및 유사 제품 제조업
13224.0,"천막, 텐트 및 유사 제품 제조업"
13225.0,직물포대 제조업
13229.0,기타 직물제품 제조업
13300.0,편조 원단 제조업
